región de tramitación,comuna de tramitación
VI del Libertador General Bernardo O'Higgins,Doñihue
Metropolitana de Santiago,Vitacura
Metropolitana de Santiago,Paine
VI del Libertador General Bernardo O'Higgins,Lolol
VI del Libertador General Bernardo O'Higgins,Nancagua
V de Valparaíso,San Felipe
VIII del Bío-Bío,Alto Biobío
IX de La Araucanía,Purén
IX de La Araucanía,Traiguén
V de Valparaíso,Olmué
VIII del Bío-Bío,Contulmo
III de Atacama,Diego de Almagro
XIV de Los Ríos,Mariquina
X de Los Lagos,Maullín
V de Valparaíso,Hijuelas
XII de Magallanes y de La Antártica Chilena,Porvenir
VIII del Bío-Bío,San Pedro de la Paz
Metropolitana de Santiago,Maipú
Metropolitana de Santiago,Lampa
VII del Maule,Pencahue
VII del Maule,Hualañé
VI del Libertador General Bernardo O'Higgins,Rancagua
Metropolitana de Santiago,Isla de Maipo
V de Valparaíso,La Ligua
III de Atacama,Chañaral
V de Valparaíso,Cabildo
VIII del Bío-Bío,Cañete
IX de La Araucanía,Pucón
XVI de Ñuble,Portezuelo
VIII del Bío-Bío,Santa Bárbara
II de Antofagasta,Ollagüe
VIII del Bío-Bío,Mulchén
IX de La Araucanía,Vilcún
IX de La Araucanía,Pitrufquén
IV de Coquimbo,Paiguano
VII del Maule,Retiro
VI del Libertador General Bernardo O'Higgins,La Estrella
II de Antofagasta,María Elena
X de Los Lagos,Purranque
VIII del Bío-Bío,Tomé
XI de Aysén del General Carlos Ibáñez del Campo,Cochrane
VIII del Bío-Bío,Lota
I de Tarapacá,Huara
IX de La Araucanía,Temuco
Metropolitana de Santiago,Lo Espejo
III de Atacama,Caldera
IX de La Araucanía,Carahue
VI del Libertador General Bernardo O'Higgins,Rengo
Metropolitana de Santiago,Pirque
X de Los Lagos,Ancud
III de Atacama,Alto del Carmen
V de Valparaíso,Zapallar
Metropolitana de Santiago,San Joaquín
Metropolitana de Santiago,Tiltil
Metropolitana de Santiago,Peñalolén
Metropolitana de Santiago,La Florida
XII de Magallanes y de La Antártica Chilena,Primavera
Metropolitana de Santiago,Alhué
Metropolitana de Santiago,Lo Barnechea
VI del Libertador General Bernardo O'Higgins,Peumo
XI de Aysén del General Carlos Ibáñez del Campo,Guaitecas
IX de La Araucanía,Nueva Imperial
X de Los Lagos,Río Negro
VII del Maule,San Clemente
VII del Maule,Río Claro
XIV de Los Ríos,La Unión
VI del Libertador General Bernardo O'Higgins,Requínoa
VI del Libertador General Bernardo O'Higgins,Navidad
II de Antofagasta,Taltal
XVI de Ñuble,Pinto
IX de La Araucanía,Saavedra
IX de La Araucanía,Perquenco
VIII del Bío-Bío,Tucapel
IX de La Araucanía,Cunco
VII del Maule,Licantén
IV de Coquimbo,Monte Patria
V de Valparaíso,Rinconada
XI de Aysén del General Carlos Ibáñez del Campo,Coihaique
VIII del Bío-Bío,Los Ángeles
X de Los Lagos,Quemchi
VII del Maule,San Rafael
VII del Maule,Colbún
V de Valparaíso,Los Andes
VI del Libertador General Bernardo O'Higgins,Las Cabras
X de Los Lagos,Puerto Varas
VI del Libertador General Bernardo O'Higgins,Marchihue
Metropolitana de Santiago,San Ramón
X de Los Lagos,Frutillar
VII del Maule,Maule
III de Atacama,Vallenar
VI del Libertador General Bernardo O'Higgins,Coltauco
VI del Libertador General Bernardo O'Higgins,Malloa
XII de Magallanes y de La Antártica Chilena,San Gregorio
Metropolitana de Santiago,Renca
V de Valparaíso,Panquehue
VIII del Bío-Bío,Nacimiento
VI del Libertador General Bernardo O'Higgins,Pichidegua
VI del Libertador General Bernardo O'Higgins,Olivar
Metropolitana de Santiago,Lo Prado
II de Antofagasta,Calama
VI del Libertador General Bernardo O'Higgins,Graneros
XVI de Ñuble,San Ignacio
VIII del Bío-Bío,Los Álamos
X de Los Lagos,Futaleufú
I de Tarapacá,Iquique
XVI de Ñuble,Ninhue
VIII del Bío-Bío,Chiguayante
IX de La Araucanía,Freire
XII de Magallanes y de La Antártica Chilena,Laguna Blanca
VI del Libertador General Bernardo O'Higgins,Chimbarongo
V de Valparaíso,Calera
IV de Coquimbo,Salamanca
X de Los Lagos,Palena
XV de Arica y Parinacota,Camarones
IX de La Araucanía,Lonquimay
XIV de Los Ríos,Futrono
X de Los Lagos,Quinchao
X de Los Lagos,Quellón
V de Valparaíso,Villa Alemana
VII del Maule,Pelarco
XII de Magallanes y de La Antártica Chilena,Río Verde
I de Tarapacá,Pozo Almonte
X de Los Lagos,Llanquihue
V de Valparaíso,Llaillay
VIII del Bío-Bío,Santa Juana
XV de Arica y Parinacota,Arica
VIII del Bío-Bío,Laja
IV de Coquimbo,Punitaqui
VI del Libertador General Bernardo O'Higgins,Palmilla
VIII del Bío-Bío,Penco
X de Los Lagos,Queilén
IV de Coquimbo,Illapel
VIII del Bío-Bío,Cabrero
V de Valparaíso,El Tabo
VII del Maule,Chanco
VII del Maule,Constitución
VII del Maule,Rauco
VI del Libertador General Bernardo O'Higgins,Peralillo
IX de La Araucanía,Melipeuco
VII del Maule,Romeral
XI de Aysén del General Carlos Ibáñez del Campo,Tortel
VII del Maule,Parral
Metropolitana de Santiago,San Bernardo
X de Los Lagos,Dalcahue
Metropolitana de Santiago,La Reina
VII del Maule,Teno
IX de La Araucanía,Padre Las Casas
Metropolitana de Santiago,Huechuraba
Metropolitana de Santiago,Macul
VIII del Bío-Bío,Curanilahue
XII de Magallanes y de La Antártica Chilena,Timaukel
VIII del Bío-Bío,Negrete
Metropolitana de Santiago,Las Condes
VIII del Bío-Bío,Quilleco
Metropolitana de Santiago,Providencia
IX de La Araucanía,Curacautín
VIII del Bío-Bío,Coronel
Metropolitana de Santiago,Peñaflor
II de Antofagasta,Antofagasta
IV de Coquimbo,Canela
Metropolitana de Santiago,María Pinto
VII del Maule,Curicó
VII del Maule,Sagrada Familia
X de Los Lagos,Chaitén
XI de Aysén del General Carlos Ibáñez del Campo,Chile Chico
V de Valparaíso,Quillota
V de Valparaíso,Quintero
V de Valparaíso,Calle Larga
V de Valparaíso,Cartagena
Metropolitana de Santiago,Santiago
V de Valparaíso,Puchuncaví
VIII del Bío-Bío,Lebu
I de Tarapacá,Colchane
VII del Maule,Yerbas Buenas
VI del Libertador General Bernardo O'Higgins,San Fernando
X de Los Lagos,Osorno
VI del Libertador General Bernardo O'Higgins,Placilla
V de Valparaíso,San Antonio
II de Antofagasta,Sierra Gorda
XIV de Los Ríos,Lago Ranco
VII del Maule,Vichuquén
Metropolitana de Santiago,Curacaví
II de Antofagasta,San Pedro de Atacama
IX de La Araucanía,Galvarino
IV de Coquimbo,Vicuña
II de Antofagasta,Mejillones
VIII del Bío-Bío,Quilaco
XI de Aysén del General Carlos Ibáñez del Campo,Cisnes
VI del Libertador General Bernardo O'Higgins,Quinta de Tilcoco
VII del Maule,Pelluhue
Metropolitana de Santiago,Cerrillos
XIV de Los Ríos,Corral
VIII del Bío-Bío,Talcahuano
XII de Magallanes y de La Antártica Chilena,Cabo de Hornos
XIV de Los Ríos,Lanco
IX de La Araucanía,Lautaro
VII del Maule,Villa Alegre
Metropolitana de Santiago,Recoleta
V de Valparaíso,Valparaíso
Metropolitana de Santiago,Pedro Aguirre Cerda
XIV de Los Ríos,Los Lagos
IV de Coquimbo,Ovalle
Metropolitana de Santiago,Padre Hurtado
Metropolitana de Santiago,La Pintana
I de Tarapacá,Camiña
VI del Libertador General Bernardo O'Higgins,Coinco
Metropolitana de Santiago,La Cisterna
X de Los Lagos,Curaco de Vélez
Metropolitana de Santiago,San Miguel
VI del Libertador General Bernardo O'Higgins,Santa Cruz
VI del Libertador General Bernardo O'Higgins,Pichilemu
IX de La Araucanía,Teodoro Schmidt
X de Los Lagos,Calbuco
IX de La Araucanía,Lumaco
IX de La Araucanía,Angol
IX de La Araucanía,Loncoche
Metropolitana de Santiago,Ñuñoa
XVI de Ñuble,Coihueco
IX de La Araucanía,Los Sauces
Metropolitana de Santiago,Pudahuel
X de Los Lagos,Chonchi
XIV de Los Ríos,Panguipulli
VIII del Bío-Bío,Tirúa
Metropolitana de Santiago,Talagante
Metropolitana de Santiago,La Granja
IV de Coquimbo,Combarbalá
IX de La Araucanía,Curarrehue
III de Atacama,Tierra Amarilla
Metropolitana de Santiago,Quilicura
VIII del Bío-Bío,San Rosendo
XVI de Ñuble,Cobquecura
Metropolitana de Santiago,Independencia
V de Valparaíso,Santo Domingo
XI de Aysén del General Carlos Ibáñez del Campo,Aisén
X de Los Lagos,Puqueldón
IV de Coquimbo,Los Vilos
Metropolitana de Santiago,Estación Central
VI del Libertador General Bernardo O'Higgins,San Vicente
VI del Libertador General Bernardo O'Higgins,Mostazal
X de Los Lagos,Fresia
Metropolitana de Santiago,Conchalí
VI del Libertador General Bernardo O'Higgins,Chépica
V de Valparaíso,Concón
III de Atacama,Copiapó
X de Los Lagos,Hualaihué
IV de Coquimbo,Río Hurtado
XVI de Ñuble,San Fabián
XII de Magallanes y de La Antártica Chilena,Natales
XII de Magallanes y de La Antártica Chilena,Torres del Paine
X de Los Lagos,Castro
VII del Maule,Linares
XIV de Los Ríos,Paillaco
V de Valparaíso,Santa María
V de Valparaíso,Juan Fernández
IV de Coquimbo,Coquimbo
VIII del Bío-Bío,Florida
VIII del Bío-Bío,Hualpén
XVI de Ñuble,Chillán
IV de Coquimbo,La Higuera
XVI de Ñuble,Treguaco
XI de Aysén del General Carlos Ibáñez del Campo,O'Higgins
IX de La Araucanía,Victoria
VI del Libertador General Bernardo O'Higgins,Codegua
XI de Aysén del General Carlos Ibáñez del Campo,Lago Verde
XVI de Ñuble,San Nicolás
XV de Arica y Parinacota,Putre
XII de Magallanes y de La Antártica Chilena,Punta Arenas
XVI de Ñuble,Coelemu
XVI de Ñuble,Yungay
IV de Coquimbo,La Serena
XVI de Ñuble,Chillán Viejo
Metropolitana de Santiago,San José de Maipo
I de Tarapacá,Alto Hospicio
VI del Libertador General Bernardo O'Higgins,Machalí
V de Valparaíso,Putaendo
VIII del Bío-Bío,Yumbel
VIII del Bío-Bío,Antuco
II de Antofagasta,Tocopilla
V de Valparaíso,Viña del Mar
X de Los Lagos,Puyehue
V de Valparaíso,Casablanca
Metropolitana de Santiago,El Monte
VII del Maule,Talca
V de Valparaíso,Quilpué
VIII del Bío-Bío,Arauco
IX de La Araucanía,Cholchol
XII de Magallanes y de La Antártica Chilena,Antártica
Metropolitana de Santiago,San Pedro
Metropolitana de Santiago,Melipilla
V de Valparaíso,El Quisco
VII del Maule,Molina
Metropolitana de Santiago,El Bosque
V de Valparaíso,Nogales
III de Atacama,Huasco
XVI de Ñuble,Ránquil
IX de La Araucanía,Collipulli
XVI de Ñuble,El Carmen
V de Valparaíso,Algarrobo
XVI de Ñuble,Quirihue
VI del Libertador General Bernardo O'Higgins,Pumanque
I de Tarapacá,Pica
X de Los Lagos,Puerto Octay
X de Los Lagos,San Pablo
VII del Maule,San Javier
VII del Maule,Longaví
X de Los Lagos,Cochamó
V de Valparaíso,Petorca
XIV de Los Ríos,Río Bueno
XVI de Ñuble,Quillón
IX de La Araucanía,Gorbea
IV de Coquimbo,Andacollo
XV de Arica y Parinacota,General Lagos
VIII del Bío-Bío,Concepción
V de Valparaíso,Catemu
XVI de Ñuble,Ñiquén
XIV de Los Ríos,Valdivia
V de Valparaíso,Limache
Metropolitana de Santiago,Colina
XVI de Ñuble,Bulnes
XVI de Ñuble,Pemuco
IX de La Araucanía,Ercilla
VI del Libertador General Bernardo O'Higgins,Paredones
XIV de Los Ríos,Máfil
VII del Maule,Empedrado
Metropolitana de Santiago,Calera de Tango
Metropolitana de Santiago,Puente Alto
X de Los Lagos,San Juan de la Costa
Metropolitana de Santiago,Buin
IX de La Araucanía,Toltén
Metropolitana de Santiago,Cerro Navia
VIII del Bío-Bío,Hualqui
V de Valparaíso,La Cruz
V de Valparaíso,San Esteban
Metropolitana de Santiago,Quinta Normal
VII del Maule,Curepto
V de Valparaíso,Papudo
III de Atacama,Freirina
X de Los Lagos,Puerto Montt
VII del Maule,Cauquenes
IX de La Araucanía,Villarrica
VI del Libertador General Bernardo O'Higgins,Litueche
V de Valparaíso,Isla de Pascua
IX de La Araucanía,Renaico
XVI de Ñuble,San Carlos
XI de Aysén del General Carlos Ibáñez del Campo,Río Ibáñez
X de Los Lagos,Los Muermos
